pregunta;respuesta
¿Cuál es la política de reembolso y devoluciones?;Puedes solicitar un reembolso completo o devolución dentro de los primeros 30 días posteriores a tu compra presentando el ticket original o número de pedido.
¿Cuánto tardan los envíos?;Los envíos estándar tardan entre 3 y 5 días hábiles. Los envíos exprés tardan de 24 a 48 horas en llegar a tu domicilio.
¿Qué hago si mi producto llega dañado o defectuoso?;Debes reportarlo adjuntando una foto a soporte@empresa.com en un plazo máximo de 48 horas desde la entrega para procesar un cambio gratuito e inmediato.
¿Cuáles son los métodos de pago aceptados?;Aceptamos tarjetas de crédito y débito (Visa, Mastercard), PayPal, pagos por código QR y transferencias bancarias directas.
¿Tienen garantía los productos?;Todos nuestros productos cuentan con una garantía oficial de 6 meses contra fallas de fábrica desde la fecha de emisión de la factura.
¿Realizan envíos internacionales?;Por el momento solo realizamos envíos a todo el territorio nacional. Los costos de envío varían según la ubicación.
¿Cómo realizo el seguimiento de mi pedido?;Una vez despachado el paquete, recibirás un correo electrónico con el código de rastreo para hacer el seguimiento en tiempo real desde nuestra web.
¿Cuál es el horario de atención al cliente?;Nuestro equipo de atención al cliente está disponible de lunes a viernes de 8:00 a 18:00 hs y sábados de 9:00 a 13:00 hs.
¿Puedo modificar o cancelar mi pedido?;Puedes modificar o cancelar tu pedido dentro de las 2 horas posteriores a la compra contactando directamente a nuestro soporte antes de que sea despachado.
¿Los precios incluyen IVA?;Sí, todos los precios mostrados en nuestra plataforma incluyen el Impuesto al Valor Agregado (IVA) correspondiente.
